tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Lifestyle,Lifestyle_keywords,Entertainment,Entertainment_keywords,Sports,Sports_keywords,Education,Education_keywords,Politics,Politics_keywords,City Hall types stories,City Hall types stories_keywords,State House types stories,State House types stories_keywords,Courthouse types stories,Courthouse types stories_keywords,Economy,Economy_keywords,Business,Business_keywords,Stock Exchange,Stock Exchange_keywords,Health,Health_keywords,Science,Science_keywords,Technology,Technology_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,Abortion,Abortion_keywords,2nd Amendment,2nd Amendment_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Terrorism,Terrorism_keywords,Race,Race_keywords,Religion,Religion_keywords,Russian Sphere,Russian Sphere_keywords
1450827441082191884,21790258,Green Valley News,Wed Oct 20 14:13:11 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450639194456473601,21790258,Green Valley News,Wed Oct 20 01:45:10 +0000 2021,0,(),0,(),0,(),1,"('want',)",2,"('christmas', 'thing')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('christmas',)",0,()
1450591372512305159,21790258,Green Valley News,Tue Oct 19 22:35:08 +0000 2021,0,(),0,(),0,(),0,(),1,"('series',)",0,(),1,"('series',)",0,(),0,(),1,"('representative',)",1,"('question',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('recreation',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450580553405800452,21790258,Green Valley News,Tue Oct 19 21:52:09 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('vote',)",0,(),0,(),0,(),0,(),0,(),0,(),2,"('covid', 'vaccine')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450544827913969675,21790258,Green Valley News,Tue Oct 19 19:30:11 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('school',)",1,"('voter',)",1,"('budget',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450522239556857858,21790258,Green Valley News,Tue Oct 19 18:00:25 +0000 2021,0,(),1,"('flood',)",1,"('flood',)",0,(),0,(),0,(),0,(),0,(),1,"('department',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450305492098686980,21790258,Green Valley News,Tue Oct 19 03:39:09 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450298952125931521,21790258,Green Valley News,Tue Oct 19 03:13:10 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),1,"('game',)",3,"('conference', 'football', 'wolf')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1450033447687409664,21790258,Green Valley News,Mon Oct 18 09:38:08 +0000 2021,2,"('traffic', 'vehicle')",0,(),0,(),1,"('police',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449519317318574082,21790258,Green Valley News,Sat Oct 16 23:35:10 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('club',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('transplant',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449415871894544394,21790258,Green Valley News,Sat Oct 16 16:44:07 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('political',)",0,(),0,(),0,(),1,"('bank',)",2,"('bank', 'food')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449415628322787332,21790258,Green Valley News,Sat Oct 16 16:43:09 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('political',)",0,(),0,(),0,(),1,"('bank',)",2,"('bank', 'food')",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1449393489972768772,21790258,Green Valley News,Sat Oct 16 15:15:11 +0000 2021,0,(),0,(),0,(),0,(),0,(),1,"('book',)",0,(),0,(),1,"('learn',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('vaccine',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448801579977658377,21790258,Green Valley News,Fri Oct 15 00:03:08 +0000 2021,1,"('vehicle',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448790006294843397,21790258,Green Valley News,Thu Oct 14 23:17:09 +0000 2021,0,(),0,(),0,(),1,"('want',)",0,(),0,(),1,"('game',)",1,"('football',)",1,"('school',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
1448714005997051904,21790258,Green Valley News,Thu Oct 14 18:15:09 +0000 2021,0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),1,"('research',)",0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,(),0,()
